"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
157,"автокран","s",1.1,30,68,37,""
158,"автолавка","s",0.5,18,55,19,""
159,"автолюбитель","s",3,59,88,216,""
160,"автомагистраль","s",1.4,51,83,90,""
161,"автомастерская","s",0.6,27,78,35,""
162,"автомат","s",56,100,92,1376,""
163,"автоматизация","s",8.5,61,85,414,""
164,"автоматизированный","a",11.2,65,83,523,""
165,"автоматизировать","v",2.1,57,83,167,""
166,"автоматизм","s",1.6,66,88,118,""
167,"автоматика","s",4.9,77,83,232,""
168,"автоматически","adv",20,99,95,1243,""
169,"автоматический","a",24,99,90,1183,""
170,"автоматный","a",4.2,76,89,197,""
171,"автоматчик","s",4.5,73,85,154,""
172,"автомашина","s",10.4,93,91,476,""
173,"автомеханик","s",0.5,26,74,34,""
174,"автомобилестроение","s",1.6,55,87,124,""
175,"автомобилестроитель","s",0.5,23,76,31,""
176,"автомобилизация","s",0.4,21,55,23,""
177,"автомобилист","s",3.8,66,88,261,""
178,"автомобиль","s",156.9,100,92,3453,""
179,"автомобильный","a",34,99,93,1651,""
180,"автомобильчик","s",0.8,42,85,66,""
181,"автономия","s",8.9,79,88,382,""
182,"автономно","adv",1.4,58,88,112,""
183,"автономность","s",1.1,45,83,90,""
184,"автономный","a",22.1,93,83,942,""
185,"автоответчик","s",2.9,63,79,123,""
186,"автопарк","s",1.3,49,86,89,""
187,"автопилот","s",7.4,76,80,245,""
188,"автопоезд","s",0.9,23,71,31,""
189,"автопортрет","s",1.8,60,84,97,""
190,"автопредприятие","s",0.4,24,79,31,""
191,"автопроизводитель","s",1.5,44,85,106,""
192,"автопром","s",1.8,39,82,97,""
193,"автор","s",262.1,100,93,6216,""
194,"авторадио","s",0.4,14,65,15,""
195,"авторемонтный","a",0.8,30,81,42,""
196,"автореферат","s",2.3,25,68,131,""
197,"авторизация","s",0.5,15,63,22,""
198,"авторизованный","a",0.7,34,83,49,""
199,"авторитаризм","s",1.1,40,84,70,""
200,"авторитарность","s",0.4,22,78,23,""
201,"авторитарный","a",3.7,62,88,211,""
202,"авторитет","s",37.1,100,94,1604,""
203,"авторитетнейший","a",0.5,35,85,40,""
204,"авторитетно","adv",1.9,70,89,141,""
205,"авторитетность","s",0.5,27,78,32,""
206,"авторитетный","a",12.1,98,92,835,""
207,"авторский","a",27.1,99,88,1157,""
208,"авторство","s",4.6,90,89,257,""
209,"авторучка","s",3.8,84,89,211,""
210,"авторынок","s",0.7,30,80,46,""
211,"автосалон","s",4.3,54,86,207,""
212,"автосамосвал","s",1.7,21,62,31,""
213,"автосервис","s",2.1,59,86,117,""
214,"автослесарь","s",0.5,23,74,31,""
215,"автоспорт","s",2.8,44,83,141,""
216,"автоспортивный","a",0.5,22,78,34,""
217,"автостанция","s",0.4,29,82,34,""
218,"автостоп","s",0.8,37,71,41,""
219,"автостоянка","s",3.4,73,85,182,""
220,"автострада","s",2.5,65,69,114,""
221,"автострахование","s",0.4,17,72,22,""
222,"автотранспорт","s",5.4,72,88,327,""
223,"автотранспортный","a",3.1,53,75,137,""
224,"автотрасса","s",0.7,33,82,50,""
225,"автофургон","s",0.6,34,81,40,""
226,"автохозяйство","s",0.4,23,77,27,""
227,"автоцентр","s",0.5,23,76,31,""
228,"автоцистерна","s",0.4,20,72,23,""
229,"автошкола","s",0.8,27,68,38,""
230,"ага","intj",40.2,98,78,1177,""
231,"ага","part",4.3,66,74,182,""
232,"ага","s",0.9,35,79,49,""
233,"агар","s",0.4,9,51,17,""
234,"агарозный","a",0.6,9,51,40,""
235,"агат","s",0.8,39,83,52,""
236,"агенс","s",0.5,4,44,5,""
237,"агент","s",39.2,100,92,1174,""
238,"агентский","a",1,32,64,45,""
239,"агентство","s",49.1,96,91,1946,""
240,"агентура","s",3.4,66,83,121,""
241,"агентурный","a",2.4,69,85,127,""
242,"агинский","a",0.4,16,71,22,""
243,"агитатор","s",3.2,70,85,146,""
244,"агитационный","a",2.4,57,82,131,""
245,"агитация","s",8.7,96,91,437,""
246,"агитировать","v",3,84,91,212,""
247,"агитка","s",0.5,29,80,38,""
248,"агитпроп","s",0.9,35,82,57,""
249,"агитпункт","s",0.4,16,63,18,""
250,"агломерат","s",0.4,14,58,16,""
251,"агломерация","s",0.7,15,39,18,""
252,"агнец","s",2.5,53,61,103,""
253,"агностик","s",0.5,26,78,34,""
254,"агонизировать","v",0.5,36,85,47,""
255,"агония","s",3.1,84,92,220,""
256,"аграрий","s",3.3,46,83,177,""
257,"аграрный","a",10,72,87,400,""
258,"агрегат","s",18.5,96,87,725,""
259,"агрегатный","a",1,36,79,62,""
260,"агрегирование","s",0.5,12,62,29,""
261,"агрегированный","a",0.6,11,68,30,""
262,"агрессивно","adv",3,87,91,235,""
263,"агрессивность","s",4.2,86,91,261,""
264,"агрессивный","a",15.9,99,93,992,""
265,"агрессия","s",13.1,98,91,617,""
266,"агрессор","s",3.5,79,87,184,""
267,"агролесомелиоративный","a",0.4,8,40,9,""
268,"агроном","s",5.4,80,82,204,""
269,"агрономический","a",0.7,27,73,39,""
270,"агрономия","s",0.4,18,74,20,""
271,"агропром","s",0.4,28,82,32,""
272,"агропромбанк","s",0.5,9,58,17,""
273,"агропромышленный","a",3.7,51,86,204,""
274,"агротехника","s",0.6,31,81,42,""
275,"агротехнический","a",0.8,37,82,63,""
276,"агрофирма","s",0.8,28,68,38,""
277,"агрохолдинг","s",0.5,19,75,27,""
278,"агуша","s",0.4,5,37,6,"*"
279,"ад","s",23.7,99,91,888,"*"
280,"адажио","s",0.4,16,70,24,""
281,"адамантан","s",0.5,4,14,5,""
282,"адамов","a",0.4,25,79,29,""
283,"адаптационный","a",0.6,22,75,41,""
284,"адаптация","s",12.6,83,81,582,""
285,"адаптер","s",0.6,27,75,34,""
286,"адаптивность","s",0.5,19,74,29,""
287,"адаптивный","a",2.4,38,73,109,""
288,"адаптированный","a",2.3,56,80,129,""
289,"адаптировать","v",3.8,67,88,313,""
290,"адаптироваться","v",4,82,90,301,""
291,"адвентист","s",0.4,18,66,21,""
292,"адвокат","s",49.3,100,86,1197,"*"
293,"адвокатский","a",7.1,73,59,167,""
294,"адвокатура","s",2.4,42,74,66,""
295,"адгезия","s",1.1,21,71,51,""
296,"аддитивный","a",0.7,14,71,34,""
297,"адекватно","adv",5.2,82,88,379,""
298,"адекватность","s",2.7,47,77,162,""
299,"адекватный","a",17.8,92,87,1067,""
300,"аденовирус","s",1.2,11,42,22,""
301,"аденоид","s",0.4,13,53,13,""
302,"аденома","s",0.5,18,60,24,""
303,"адепт","s",2.8,76,89,187,""
304,"административно","adv",0.8,38,84,61,""
305,"административно-командный","a",0.6,28,75,40,""
306,"административно-правовой","a",0.7,22,64,34,""
307,"административно-процессуальный","a",0.5,10,51,16,""
308,"административно-территориальный","a",1.8,40,78,96,""
309,"административно-хозяйственный","a",0.5,28,75,35,""
310,"административный","a",88.8,99,73,2501,""
311,"администратор","s",15.6,97,90,553,""
312,"администраторша","s",0.7,31,79,37,""
313,"администрация","s",98.3,99,90,4120,""
314,"администрирование","s",2.4,53,84,154,""
315,"адмирал","s",13.5,95,90,379,""
316,"адмиралтейский","a",4,45,42,64,""
317,"адмиралтейство","s",2.8,49,50,67,""
318,"адмиральский","a",0.9,30,76,36,""
319,"адов","a",1,46,84,71,""
320,"адреналин","s",2.8,81,91,182,""
321,"адрес","s",92.7,100,94,3560,""
322,"адресат","s",6.7,94,92,362,""
323,"адресный","a",4.1,81,89,286,""
324,"адресовать","v",11.1,98,93,679,""
325,"адресоваться","v",1.6,67,90,125,""
326,"адресок","s",0.9,37,81,57,""
327,"адриатический","a",0.5,29,81,34,""
328,"адский","a",6.6,94,91,389,""
329,"адсорбат","s",0.5,3,5,5,""
330,"адсорбировать","v",1.7,16,59,49,""
331,"адсорбционный","a",0.8,11,59,27,""
332,"адсорбция","s",1.8,12,63,66,""
333,"адъювант","s",0.6,8,51,22,""
334,"адъютант","s",6.7,81,86,171,""
335,"адюльтер","s",1.2,51,86,70,""
336,"аж","part",22.6,94,93,1110,""
337,"ажиотаж","s",4,81,90,296,""
338,"ажиотажный","a",0.4,22,79,35,""
339,"ажур","s",1,51,82,70,""
340,"ажурный","a",4.2,89,92,284,""
341,"аз","s",4.8,93,86,281,"*"
342,"аз","spro",0.9,43,79,70,""
343,"азалия","s",1.2,30,48,33,"*"
344,"азарт","s",11.8,94,94,607,""
345,"азартно","adv",3.5,79,90,232,""
346,"азартный","a",5.8,95,93,377,""
347,"азбука","s",3.7,86,89,212,""
348,"азбучный","a",0.8,44,83,57,""
349,"азер","s",0.4,15,69,18,""
350,"азербайджанец","s",5.9,72,81,186,""
351,"азербайджанский","a",6,71,82,200,""
352,"азиат","s",2.3,64,85,126,""
353,"азиатский","a",10.3,97,93,582,""
354,"азиатско-тихоокеанский","a",1.6,46,84,106,""
355,"азимут","s",1.6,52,83,78,""
356,"азовский","a",1.6,57,84,96,""
357,"азорский","a",0.4,18,70,19,""
358,"азот","s",7.9,68,80,273,""
359,"азотный","a",1.4,41,77,72,""
360,"аи","s",1.4,49,85,85,"*"
361,"аир","s",0.6,21,70,28,""
362,"аист","s",3.1,70,86,120,""
363,"ай","intj",11.6,92,90,447,""
364,"ай-ай-ай","intj",0.7,36,84,55,""
365,"айва","s",0.9,29,64,37,""
366,"айда","intj",1.8,58,86,112,""
367,"айкидо","s",0.8,25,76,33,""
368,"айсберг","s",4.2,88,87,216,""
369,"ай-яй-яй","intj",1,39,81,65,""
370,"академгородок","s",1.9,40,79,69,""
371,"академизм","s",0.8,33,79,47,""
372,"академик","s",49.2,100,90,1398,""
373,"академический","a",19.6,99,92,951,""
374,"академичный","a",0.4,24,78,34,""
375,"академия","s",70.3,100,92,2243,""
376,"акафист","s",1.2,39,77,62,""
377,"акация","s",4.1,82,88,192,""
378,"акваланг","s",1.9,54,77,71,""
379,"аквалангист","s",0.9,35,77,41,""
380,"аквапарк","s",0.9,34,81,56,""
381,"акварель","s",4,80,90,211,""
382,"акварельный","a",1.4,59,87,100,""
383,"аквариум","s",8.3,95,90,371,""
384,"аквариумный","a",0.6,33,80,41,""
385,"акватория","s",4.2,65,80,185,""
386,"акведук","s",0.4,22,77,22,""
387,"аки","conj",1.2,55,86,83,""
388,"акклиматизация","s",1,43,80,55,""
389,"акклиматизироваться","v",0.5,32,83,41,""
390,"аккомпанемент","s",3.7,90,89,218,""
391,"аккомпаниатор","s",1,37,80,51,""
392,"аккомпанировать","v",2.5,67,88,140,""
393,"аккорд","s",7,93,91,357,""
394,"аккордеон","s",4.2,69,78,138,""
395,"аккордеонист","s",0.5,28,79,28,""
396,"аккредитация","s",2.1,51,84,124,""
397,"аккредитив","s",3.8,19,29,22,""
398,"аккредитивный","a",0.5,5,34,6,""
399,"аккредитовать","v",1.9,53,85,133,""
400,"аккумулирование","s",0.4,20,77,30,""
401,"аккумулировать","v",2.1,62,89,177,""
402,"аккумулироваться","v",0.6,33,82,50,""
403,"аккумулятор","s",5.1,85,90,271,""
404,"аккумуляторный","a",1.6,48,79,81,""
405,"аккумуляция","s",0.9,20,66,50,""
406,"аккурат","adv",2.6,77,91,191,""
407,"аккурат","s",1,52,85,72,""
408,"аккуратненький","a",1.1,56,88,90,""
409,"аккуратненько","adv",0.7,35,80,50,""
410,"аккуратно","adv",32.6,100,94,1383,""
411,"аккуратность","s",2.4,84,93,202,""
412,"аккуратный","a",16.9,100,94,901,""
413,"акмеизм","s",0.8,22,61,29,""
414,"акмеист","s",0.8,24,69,35,""
415,"аконит","s",1,7,15,8,""
416,"акр","s",1,27,69,41,"*"
417,"акрил","s",0.9,16,37,21,""
418,"акриловый","a",1,23,65,40,""
419,"акробат","s",2.5,63,80,115,""
420,"акробатика","s",1.1,49,85,75,""
421,"акробатический","a",1.3,57,85,87,""
422,"акрополь","s",0.6,27,77,36,""
423,"акростих","s",0.4,19,71,22,""
424,"аксакал","s",0.8,36,79,47,""
425,"акселератор","s",0.8,37,84,55,""
426,"акселерация","s",0.8,28,75,32,""
427,"аксель","s",0.8,26,72,34,"*"
428,"аксельбант","s",0.7,32,79,41,""
429,"аксессуар","s",5.5,73,87,365,""
430,"аксиологический","a",0.5,14,63,21,""
431,"аксиома","s",8.5,90,76,286,""
432,"аксиоматический","a",0.6,16,66,27,""
433,"аксон","s",0.4,6,43,6,""
434,"акт","s",113.6,99,84,2830,""
435,"актант","s",2.3,10,52,17,""
436,"актантный","a",0.5,5,39,6,""
437,"актер","s",114.4,99,87,1827,""
438,"актерка","s",1,23,37,26,""
439,"актерский","a",22.8,89,85,610,""
440,"актерство","s",1,45,85,65,""
441,"актив","s",32.7,90,89,1100,""
442,"активатор","s",0.7,15,63,25,""
443,"активация","s",3.7,29,71,153,""
444,"активизация","s",7.3,72,86,498,""
445,"активизировать","v",4.9,71,89,388,""
446,"активизироваться","v",3.7,73,89,302,""
447,"активированный","a",1.6,40,71,65,""
448,"активировать","v",1.3,35,75,73,""
449,"активист","s",6.3,88,90,407,""
450,"активистка","s",1.2,47,84,76,""
451,"активнейший","a",0.7,40,84,58,""
452,"активно","adv",52.6,100,92,3171,""
453,"активность","s",58.5,100,83,2084,""
454,"активный","a",85.7,100,91,4309,""
455,"актинидия","s",0.4,16,65,21,""
456,"актовый","a",3,79,90,164,""
457,"актор","s",0.4,16,69,22,""
458,"актриса","s",40.4,95,88,959,""
459,"актуализация","s",2.1,38,75,111,""
460,"актуализировать","v",1.2,36,78,71,""
461,"актуализироваться","v",0.8,28,72,52,""
462,"актуально","adv",1.1,47,84,87,""
463,"актуальность","s",8,73,87,585,""
464,"актуальный","a",34.7,97,89,2249,""
465,"акула","s",9.3,92,80,337,""
466,"акулий","a",0.6,28,76,42,""
467,"акустика","s",2.2,71,89,153,""
468,"акустический","a",5.6,76,81,247,""
469,"акушер","s",0.8,28,70,34,""
470,"акушерка","s",1.7,50,80,65,""
471,"акушерский","a",0.4,15,69,20,""
472,"акушерство","s",0.7,36,82,46,""
473,"акцент","s",26.2,100,94,1334,""
474,"акцентирование","s",0.5,24,79,37,""
475,"акцентировать","v",3.9,81,87,275,""
476,"акцентироваться","v",0.6,34,80,45,""
477,"акцентуация","s",0.5,7,16,9,""
478,"акцепт","s",1,13,43,28,""
479,"акцептор","s",0.6,8,37,13,""
480,"акциз","s",5.3,52,83,190,""
481,"акцизный","a",1.4,41,81,62,""
482,"акционер","s",36.3,77,78,860,""
483,"акционерный","a",17.6,86,80,748,""
484,"акционирование","s",1.4,46,83,87,""
485,"акционировать","v",0.5,33,84,47,""
486,"акция","s",98.5,99,89,3051,""
487,"акын","s",0.5,23,75,28,""
488,"алайский","a",0.6,8,39,8,""
489,"алан","s",3.1,61,77,136,"*"
490,"албанец","s",2.1,44,74,73,""
491,"албанский","a",2,40,74,56,""
492,"алгебра","s",3.9,83,85,204,""
493,"алгебраический","a",2.1,36,69,68,""
494,"алгоритм","s",26.5,71,71,574,""
495,"алгоритмический","a",1.7,19,62,52,""
496,"але","intj",2.6,57,82,120,""
497,"але","part",1.2,11,17,12,""
498,"алебарда","s",0.6,31,81,37,""
499,"алебастровый","a",0.4,26,80,29,""
500,"александрийский","a",3,59,78,106,""
501,"александринский","a",1.1,32,67,38,""
502,"александрит","s",0.4,7,15,7,""
503,"александровский","a",3,78,86,171,""
504,"александро-невский","a",0.9,30,76,43,""
505,"алексеевский","a",1.2,42,80,58,""
506,"аленький","a",0.4,25,79,29,""
507,"алеть","v",1.3,54,88,91,""
508,"алеут","s",0.4,15,57,16,""
509,"алжирец","s",0.4,21,77,24,""
510,"алжирский","a",0.8,38,79,46,""
511,"али","conj",2.3,58,81,99,""
512,"алиби","s",2.6,63,78,104,""
513,"алименты","s",6,79,56,184,""
514,"алия","s",1,19,52,24,"*"
515,"алкалоид","s",0.6,16,71,24,""
516,"алкать","v",1.3,61,88,104,""
517,"алкаш","s",4.8,70,87,217,""
518,"алкоголизм","s",5.8,93,90,305,""
519,"алкоголик","s",10,95,93,466,""
520,"алкоголичка","s",0.8,39,84,60,""
521,"алкоголь","s",20.4,100,93,855,""
522,"алкогольный","a",11.4,96,90,521,""
523,"аллантоисный","a",0.6,6,48,22,""
524,"аллах","s",8.5,87,89,262,""
525,"алле","intj",0.7,27,79,40,""
526,"аллегорический","a",1.2,47,81,67,""
527,"аллегория","s",2.3,79,91,147,""
528,"аллейка","s",0.8,39,84,53,""
529,"аллерген","s",0.9,32,75,41,""
530,"аллергик","s",0.5,20,72,28,""
531,"аллергический","a",2.1,61,85,127,""
532,"аллергия","s",7,89,85,298,""
533,"аллея","s",16,96,93,581,""
534,"аллигатор","s",0.5,23,78,30,""
535,"аллилуйя","adv",0.4,17,57,21,""
536,"аллитерация","s",0.5,31,82,37,""
537,"алло","intj",9.6,81,83,307,""
538,"аллюзия","s",1.8,58,86,125,""
539,"аллюр","s",0.8,37,79,44,""
540,"алма-атинский","a",0.8,35,79,45,""
541,"алмаз","s",16.7,96,87,512,""
542,"алмазный","a",5.1,86,90,244,""
543,"алмазоносный","a",0.4,11,55,13,""
544,"алогичный","a",0.4,31,81,35,""
545,"алоэ","s",1,35,69,44,""
546,"алтайский","a",5.3,75,89,280,""
547,"алтарный","a",1,32,64,38,""
548,"алтарь","s",9.2,92,83,354,""
549,"алтын","s",0.5,16,39,19,"*"
550,"алфавит","s",5.8,94,89,296,""
551,"алфавитный","a",1.2,52,87,84,""
552,"алхимик","s",1.7,61,84,98,""
553,"алхимический","a",1.1,29,58,33,""
554,"алхимия","s",1.2,49,78,66,""
555,"алчно","adv",0.5,28,77,32,""
556,"алчность","s",1.5,58,85,102,""
557,"алчный","a",2,74,90,149,""
558,"алый","a",13.2,97,93,610,""
559,"алыча","s",0.8,29,77,31,""
560,"аль","conj",2.1,67,88,119,""
561,"аль","part",0.4,23,78,28,""
562,"альбатрос","s",1.2,25,61,38,""
563,"альбинос","s",0.7,36,76,40,""
564,"альбом","s",23.7,99,93,824,""
565,"альбомный","a",0.4,26,75,27,""
566,"альбомчик","s",0.6,29,76,36,""
567,"альбумин","s",0.8,16,70,42,""
568,"альвеола","s",0.5,13,47,15,""
569,"альвеолярный","a",0.4,6,20,8,""
570,"альдегид","s",1.7,11,14,17,""
571,"альков","s",0.4,26,80,29,""
572,"альма-матер","s",0.4,25,79,31,""
573,"альманах","s",4.7,81,89,211,""
574,"альпийский","a",4.2,83,90,239,""
575,"альпинарий","s",0.7,20,72,36,""
576,"альпинизм","s",1.1,50,79,67,""
577,"альпинист","s",4.3,71,86,162,""
578,"альпинистский","a",1,46,85,66,""
579,"альт","s",5,54,52,91,""
580,"альтернатива","s",14.4,93,91,846,""
581,"альтернативный","a",19.8,82,86,962,""
582,"альтернативщик","s",0.9,23,76,29,""
583,"альтист","s",1.1,24,52,34,""
584,"альтовый","a",0.4,13,46,16,""
585,"альтруизм","s",1,44,84,68,""
586,"альтруист","s",0.5,27,80,35,""
587,"альтруистический","a",0.4,27,79,33,""
588,"альфа","a",1.6,54,83,97,""
589,"альфа","s",5.2,75,84,224,""
590,"альцгеймер","s",0.6,18,64,24,"*"
591,"альянс","s",10.1,73,88,479,""
592,"алюминиевый","a",15.7,98,93,683,""
593,"алюминий","s",10.9,88,88,458,""
594,"алюмосиликат","s",0.4,11,64,19,""
595,"а-ля","pr",2.1,71,90,149,""
596,"аляповатый","a",1,55,88,75,""
597,"амазонский","a",0.4,23,76,27,""
598,"амальгама","s",0.5,31,79,35,""
599,"амба","adv",1,27,45,32,""
600,"амбал","s",2.1,47,71,77,""
601,"амбар","s",4.9,80,85,175,""
602,"амбарный","a",2,62,87,123,""
603,"амбивалентность","s",0.8,22,55,30,""
604,"амбивалентный","a",0.8,37,83,58,""
605,"амбициозность","s",0.6,34,82,49,""
606,"амбициозный","a",5,80,90,408,""
607,"амбиция","s",13.2,96,92,860,""
608,"амбразура","s",2.3,66,82,134,""
609,"амброзия","s",0.5,26,80,29,""
610,"амбулатория","s",1.2,40,68,49,""
611,"амбулаторно","adv",0.4,25,80,29,""
612,"амбулаторный","a",1,47,82,63,""
613,"амвон","s",1,41,81,59,""
614,"амеба","s",0.8,45,85,56,""
615,"американец","s",78.8,100,91,2196,""
616,"американизм","s",0.7,27,65,36,""
617,"американка","s",4.4,76,88,215,""
618,"американский","a",186.5,100,92,5025,""
619,"аметист","s",1.3,27,49,33,""
620,"амиксин","s",1.1,7,37,8,""
621,"амин","s",3.9,39,42,65,"*"
622,"аминокислота","s",4.7,55,73,173,""
623,"аминокислотный","a",4.1,14,64,110,""
624,"аминь","adv",0.8,32,80,49,""
625,"аминь","part",4.6,58,45,375,""
626,"аммиак","s",2.8,51,57,79,""
627,"аммиачный","a",0.8,33,80,44,""
628,"аммоний","s",1.5,26,48,45,""
